Id,ActivityHour,StepTotal,TotalIntensity,AverageIntensity,Calories
1503960366,04-12-2016 00:00,373,20,0.333333,81
1503960366,04-12-2016 01:00,160,8,0.133333,61
1503960366,04-12-2016 02:00,151,7,0.116667,59
1503960366,04-12-2016 03:00,0,0,0,47
1503960366,04-12-2016 04:00,0,0,0,48
1503960366,04-12-2016 05:00,0,0,0,48
1503960366,04-12-2016 06:00,0,0,0,48
1503960366,04-12-2016 07:00,0,0,0,47
1503960366,04-12-2016 08:00,250,13,0.216667,68
1503960366,04-12-2016 09:00,1864,30,0.5,141
1503960366,04-12-2016 10:00,676,29,0.483333,99
1503960366,04-12-2016 11:00,360,12,0.2,76
1503960366,04-12-2016 12:00,253,11,0.183333,73
1503960366,04-12-2016 13:00,221,6,0.1,66
1503960366,04-12-2016 14:00,1166,36,0.6,110
1503960366,04-12-2016 15:00,2063,58,0.966667,151
1503960366,04-12-2016 16:00,344,13,0.216667,76
1503960366,04-12-2016 17:00,489,16,0.266667,83
1503960366,04-12-2016 18:00,1386,29,0.483333,124
1503960366,04-12-2016 19:00,558,39,0.65,104
1503960366,04-12-2016 20:00,1733,41,0.683333,132
1503960366,04-12-2016 21:00,684,31,0.516667,100
1503960366,04-12-2016 22:00,89,9,0.15,65
1503960366,04-12-2016 23:00,338,21,0.35,81
1503960366,4/13/2016 12:00:00 AM,144,14,0.233333,69
1503960366,4/13/2016 1:00:00 AM,0,0,0,48
1503960366,4/13/2016 2:00:00 AM,0,0,0,47
1503960366,4/13/2016 3:00:00 AM,36,4,0.066667,53
1503960366,4/13/2016 4:00:00 AM,0,0,0,47
1503960366,4/13/2016 5:00:00 AM,0,0,0,47
1503960366,4/13/2016 6:00:00 AM,0,0,0,48
1503960366,4/13/2016 7:00:00 AM,126,8,0.133333,59
1503960366,4/13/2016 8:00:00 AM,275,12,0.2,69
1503960366,4/13/2016 9:00:00 AM,1679,27,0.45,136
1503960366,4/13/2016 10:00:00 AM,295,15,0.25,77
1503960366,4/13/2016 11:00:00 AM,524,16,0.266667,84
1503960366,4/13/2016 12:00:00 PM,486,15,0.25,82
